date,vwretd,vwretx,P,DY,DP,PD,D,D12,PD12,r,p,d,d12,pd,pd12
1978-11-30,0.03378727,0.02575158,6.752844990984197,0.008035690000000002,0.007833953324254203,127.64947129617991,0.052901472465293996,0.3354214700097111,380.56440242923094,0.03322901991021588,1.909963896232439,-2.9393241056225823,-1.0923674184941645,4.8492880018550215,3.0023313147266038
1978-12-31,0.01770776,0.01457982,6.851300255440649,0.003127939999999999,0.003082990552680221,324.36038415059124,0.021122493961099106,0.338565369135837,958.0435972482863,0.017552804223526126,1.924438452573421,-3.8574167418362806,-1.083038091135576,5.781855194409702,3.007476543708997
1979-01-31,0.0495299,0.04701915,7.173442569846251,0.002510749999999999,0.0023979981645989947,417.0144976600618,0.017201902116347607,0.34243401003842777,1217.7952114431175,0.048342349629752375,1.970385674647945,-4.062735313117405,-1.0716763112640286,6.03312098776535,3.0420619859119737
1979-02-28,-0.02676539,-0.03378078,6.93111808455164,0.007015390000000003,0.007260660784619875,137.7285111732918,0.050324497270073716,0.3463221057065594,397.68905566192734,-0.027130105614286866,1.9360211399500935,-2.9892632971718776,-1.0603859956331259,4.925284437121971,2.9964071355832194
1979-03-31,0.06561343,0.06247229,7.364120903553995,0.0031411400000000006,0.0029564441628872977,338.24416931432535,0.02177161226010854,0.3487575731846252,969.8546936936785,0.06355062395279583,1.9966196814264394,-3.827148347676404,-1.053378230857602,5.823768029102843,3.0499979122840415
1979-04-30,0.008519717000000001,0.006437894,7.411530333334261,0.002081823000000001,0.0020685061764973652,483.44066426396466,0.015330796271799495,0.3536252745572823,1367.0987314727531,0.008483629039061245,2.003036940702289,-4.1778916453860715,-1.039517472952698,6.180928586088361,3.042554413654987
1979-05-31,-0.0135714,-0.02145847,7.252490232022318,0.00788707,0.008060025822307203,124.06908142060361,0.058455258546130644,0.3590958669335337,345.5040640820519,-0.01366433322953983,1.981344890169677,-2.839493628538856,-1.0241658873303041,4.820838518708533,3.005510777499981
1979-06-30,0.04685158,0.04382055,7.570298342859163,0.003031029999999997,0.002903784563352386,344.3781651781741,0.021982515467966583,0.3602557737055786,955.9268450742982,0.04578716443776839,2.024232477882685,-3.8175078930622535,-1.0209410172897042,5.8417403709449385,3.0451734951723894
1979-07-31,0.0149913,0.01277309,7.666994444919354,0.00221821,0.0021902339447032503,456.57223166426985,0.016792511487113623,0.36419346127913843,1253.6530174393415,0.014880041028444254,2.0369246800322602,-4.08682223676134,-1.0100700655040036,6.1237469167936,3.0469947455362636
1979-08-31,0.06473161,0.05730538,8.106354475043346,0.007426229999999992,0.007023732348737308,142.37444571471679,0.05693686415669339,0.3714102728569973,383.3347005173836,0.06272275801201484,2.0926482572084586,-2.865812271414992,-0.9904479706264632,4.95846052862345,3.083096227834922
1979-09-30,0.001426022,-0.0009315154000000001,8.098803281011984,0.0023575374,0.002359735529986109,423.7763034427365,0.019111033852572054,0.37127464019181994,1141.4092360948528,0.00142500619621875,2.091716307678368,-3.9574894221110486,-0.9908132201806205,6.049205729789417,3.0825295278589886
1979-10-31,-0.07266193,-0.07546969,7.487589108023026,0.0028077600000000064,0.003036958301561802,329.27682921617156,0.022739495900294258,0.374670453755493,878.8438637626201,-0.07543708734381431,2.0132468642753305,-3.783651958878448,-0.9817084293593682,5.796898823153779,2.994955293634699
